Gene	g+t+	g+t-	g-t+	g-t-	sensitivity	specificity	odds_ratio	pval	qval	pval_empirical	contrasting	supporting	opposing	best	worst
OG0002152	16	12	0	11	100.0	47.82608695652174	inf	0.0009191995730185723	0.29690146208499885	0.22977022977022976	3	3	0	0.25	0.25
OG0002595	2	19	14	4	12.5	17.391304347826086	0.03007518796992481	1.8038060307248472e-05	0.005826293479241257	0.23076923076923078	4	0	4	0.125	0.125
OG0003836	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.23876123876123875	3	3	0	0.25	0.25
OG0003841	9	0	7	23	56.25	100.0	inf	5.398387501653362e-05	0.01743679163034036	0.23976023976023977	4	4	0	0.125	0.125
OG0002896	14	3	2	20	87.5	86.95652173913044	46.666666666666664	6.223658234664715e-06	0.002010241609796703	0.24375624375624375	6	5	1	0.21875	0.21875
OG0004694	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.24475524475524477	3	3	0	0.25	0.25
OG0003243	1	13	15	10	6.25	43.47826086956522	0.05128205128205128	0.0018118880993695497	0.5852398560963645	0.24575424575424576	6	1	5	0.21875	0.21875
OG0001624	16	12	0	11	100.0	47.82608695652174	inf	0.0009191995730185723	0.29690146208499885	0.24775224775224775	3	3	0	0.25	0.25
OG0003161	12	2	4	21	75.0	91.30434782608695	31.5	3.1387176374554565e-05	0.010138057968981125	0.24875124875124874	5	4	2	0.375	1.0
OG0002559	11	4	5	19	68.75	82.6086956521739	10.45	0.00221200518916932	0.7144776761016903	0.2647352647352647	6	5	2	0.21875	0.6875
OG0002638	14	7	2	16	87.5	69.56521739130434	16.0	0.0008178795720508886	0.264175101772437	0.2677322677322677	4	4	1	0.125	0.625
OG0003135	1	13	15	10	6.25	43.47826086956522	0.05128205128205128	0.0018118880993695497	0.5852398560963645	0.2707292707292707	5	1	4	0.375	0.375
OG0003488	8	1	8	22	50.0	95.65217391304348	22.0	0.0014508166410693362	0.4686137750653956	0.27372627372627373	4	3	1	0.625	0.625
OG0003415	10	2	6	21	62.5	91.30434782608695	17.5	0.0008899427947768664	0.28745152271292784	0.2817182817182817	4	4	0	0.125	0.125
OG0002374	16	4	0	19	100.0	82.6086956521739	inf	1.54171455617508e-07	4.979738016445508e-05	0.2867132867132867	5	5	0	0.0625	0.0625
OG0003305	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.2897102897102897	3	3	0	0.25	0.25
OG0004524	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.29270729270729273	2	2	0	0.5	0.5
OG0004523	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.29270729270729273	2	2	0	0.5	0.5
OG0004489	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.29270729270729273	2	2	0	0.5	0.5
OG0002965	12	4	4	19	75.0	82.6086956521739	14.25	0.0006689983134398631	0.21608645524107578	0.2967032967032967	4	4	0	0.125	0.125
OG0003671	9	1	7	22	56.25	95.65217391304348	28.285714285714285	0.0004264726126306136	0.1377506538796882	0.2967032967032967	5	4	1	0.375	0.375
OG0003672	9	1	7	22	56.25	95.65217391304348	28.285714285714285	0.0004264726126306136	0.1377506538796882	0.2967032967032967	5	4	1	0.375	0.375
OG0004215	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.2987012987012987	3	3	0	0.25	0.25
OG0004208	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.2987012987012987	3	3	0	0.25	0.25
OG0004197	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.2987012987012987	3	3	0	0.25	0.25
OG0004196	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.2987012987012987	3	3	0	0.25	0.25
OG0004188	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.2987012987012987	3	3	0	0.25	0.25
OG0004216	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.2987012987012987	3	3	0	0.25	0.25
OG0004212	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3116883116883117	3	3	0	0.25	0.25
OG0004211	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3116883116883117	3	3	0	0.25	0.25
OG0004202	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3116883116883117	3	3	0	0.25	0.25
OG0004023	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3116883116883117	3	3	0	0.25	0.25
OG0004189	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3156843156843157	3	3	0	0.25	0.25
OG0004020	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3156843156843157	3	3	0	0.25	0.25
OG0002872	12	3	4	20	75.0	86.95652173913044	20.0	0.00015345509134617497	0.04956599450481451	0.31868131868131866	5	4	2	0.375	1.0
OG0003125	1	14	15	9	6.25	39.130434782608695	0.04285714285714286	0.0006735268016292429	0.21754915692624546	0.3206793206793207	4	0	4	0.125	0.125
OG0000609	16	13	0	10	100.0	43.47826086956522	inf	0.002226038928325998	0.7190105738492975	0.3206793206793207	2	2	0	0.5	0.5
OG0003124	1	14	15	9	6.25	39.130434782608695	0.04285714285714286	0.0006735268016292429	0.21754915692624546	0.3206793206793207	4	0	4	0.125	0.125
OG0003120	1	14	15	9	6.25	39.130434782608695	0.04285714285714286	0.0006735268016292429	0.21754915692624546	0.3206793206793207	4	0	4	0.125	0.125
OG0003306	12	1	4	22	75.0	95.65217391304348	66.0	5.222577947001601e-06	0.0016868926768815171	0.3226773226773227	5	4	1	0.375	0.375
OG0003307	12	1	4	22	75.0	95.65217391304348	66.0	5.222577947001601e-06	0.0016868926768815171	0.3226773226773227	5	4	1	0.375	0.375
OG0002456	13	7	3	16	81.25	69.56521739130434	9.904761904761905	0.0030564491076171176	0.987233061760329	0.32667332667332666	5	4	2	0.375	1.0
OG0003303	10	3	6	20	62.5	86.95652173913044	11.11111111111111	0.0020281821130372735	0.6551028225110394	0.32867132867132864	5	4	2	0.375	1.0
OG0003089	11	4	5	19	68.75	82.6086956521739	10.45	0.00221200518916932	0.7144776761016903	0.32867132867132864	6	5	2	0.21875	0.6875
OG0003417	10	0	6	23	62.5	100.0	inf	1.259623750385775e-05	0.004068584713746053	0.32867132867132864	3	3	0	0.25	0.25
OG0002757	12	4	4	19	75.0	82.6086956521739	14.25	0.0006689983134398631	0.21608645524107578	0.32967032967032966	5	5	1	0.0625	0.375
OG0002975	12	4	4	19	75.0	82.6086956521739	14.25	0.0006689983134398631	0.21608645524107578	0.32967032967032966	5	5	1	0.0625	0.375
OG0002204	16	12	0	11	100.0	47.82608695652174	inf	0.0009191995730185723	0.29690146208499885	0.33466533466533466	2	2	0	0.5	0.5
OG0003699	9	0	7	23	56.25	100.0	inf	5.398387501653362e-05	0.01743679163034036	0.33466533466533466	3	3	0	0.25	0.25
OG0003698	9	0	7	23	56.25	100.0	inf	5.398387501653362e-05	0.01743679163034036	0.33466533466533466	3	3	0	0.25	0.25
OG0003697	9	0	7	23	56.25	100.0	inf	5.398387501653362e-05	0.01743679163034036	0.33466533466533466	3	3	0	0.25	0.25
OG0002176	16	13	0	10	100.0	43.47826086956522	inf	0.002226038928325998	0.7190105738492975	0.33766233766233766	3	3	0	0.25	0.25
OG0001904	16	12	0	11	100.0	47.82608695652174	inf	0.0009191995730185723	0.29690146208499885	0.33766233766233766	2	2	0	0.5	0.5
OG0002750	13	6	3	17	81.25	73.91304347826086	12.277777777777779	0.0010645539010388696	0.3438509100355549	0.33766233766233766	3	3	0	0.25	0.25
OG0002173	16	13	0	10	100.0	43.47826086956522	inf	0.002226038928325998	0.7190105738492975	0.3386613386613387	3	3	0	0.25	0.25
OG0003521	10	1	6	22	62.5	95.65217391304348	36.666666666666664	0.00011249743149996784	0.036336670374489614	0.34665334665334663	4	3	1	0.625	0.625
OG0003308	11	2	5	21	68.75	91.30434782608695	23.1	0.00014127848977027433	0.04563295219579861	0.3546453546453546	3	3	1	0.25	1.0
OG0002349	5	19	11	4	31.25	17.391304347826086	0.09569377990430622	0.00221200518916932	0.7144776761016903	0.36163836163836166	4	2	3	0.625	1.0
OG0003439	0	12	16	11	0.0	47.82608695652174	0.0	0.0003718837459112985	0.1201184499293494	0.3776223776223776	3	0	3	0.25	0.25
OG0003541	10	1	6	22	62.5	95.65217391304348	36.666666666666664	0.00011249743149996784	0.036336670374489614	0.3856143856143856	4	3	1	0.625	0.625
OG0003630	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3906093906093906	3	3	0	0.25	0.25
OG0004149	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3906093906093906	3	3	0	0.25	0.25
OG0004389	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3906093906093906	3	3	0	0.25	0.25
OG0003486	7	0	9	23	43.75	100.0	inf	0.0007437778335611065	0.24024024024023738	0.3906093906093906	3	3	0	0.25	0.25
OG0003032	11	4	5	19	68.75	82.6086956521739	10.45	0.00221200518916932	0.7144776761016903	0.3936063936063936	4	3	2	0.625	1.0
OG0003292	11	2	5	21	68.75	91.30434782608695	23.1	0.00014127848977027433	0.04563295219579861	0.3966033966033966	5	4	2	0.375	1.0
OG0003293	11	2	5	21	68.75	91.30434782608695	23.1	0.00014127848977027433	0.04563295219579861	0.3966033966033966	5	4	2	0.375	1.0
OG0000359	16	13	0	10	100.0	43.47826086956522	inf	0.002226038928325998	0.7190105738492975	0.4085914085914086	4	4	0	0.125	0.125
OG0001122	14	8	2	15	87.5	65.21739130434783	13.125	0.0013334974402827687	0.4307196732113343	0.42157842157842157	5	4	1	0.375	0.375
OG0000100	16	12	0	11	100.0	47.82608695652174	inf	0.0009191995730185723	0.29690146208499885	0.4245754245754246	3	3	0	0.25	0.25
OG0004013	8	0	8	23	50.0	100.0	inf	0.00020918751568905824	0.06756756756756581	0.46053946053946054	3	3	0	0.25	0.25
OG0002830	13	5	3	18	81.25	78.26086956521739	15.6	0.00034611491786130775	0.1117951184692024	0.4785214785214785	3	3	0	0.25	0.25
OG0002831	13	5	3	18	81.25	78.26086956521739	15.6	0.00034611491786130775	0.1117951184692024	0.4785214785214785	3	3	0	0.25	0.25
OG0003687	10	0	6	23	62.5	100.0	inf	1.259623750385775e-05	0.004068584713746053	0.4855144855144855	3	3	0	0.25	0.25
OG0003689	10	0	6	23	62.5	100.0	inf	1.259623750385775e-05	0.004068584713746053	0.4855144855144855	3	3	0	0.25	0.25
OG0003859	8	1	8	22	50.0	95.65217391304348	22.0	0.0014508166410693362	0.4686137750653956	0.48951048951048953	4	3	1	0.625	0.625
OG0003711	8	1	8	22	50.0	95.65217391304348	22.0	0.0014508166410693362	0.4686137750653956	0.4925074925074925	4	3	1	0.625	0.625
OG0003002	11	4	5	19	68.75	82.6086956521739	10.45	0.00221200518916932	0.7144776761016903	0.5094905094905094	4	3	2	0.625	1.0
OG0003289	11	2	5	21	68.75	91.30434782608695	23.1	0.00014127848977027433	0.04563295219579861	0.5134865134865135	4	3	1	0.625	0.625
OG0001981	15	7	1	16	93.75	69.56521739130434	34.285714285714285	8.310382410259538e-05	0.026842535185138308	0.5204795204795205	5	4	1	0.375	0.375
OG0002028	15	7	1	16	93.75	69.56521739130434	34.285714285714285	8.310382410259538e-05	0.026842535185138308	0.5204795204795205	5	4	1	0.375	0.375
OG0000344	15	7	1	16	93.75	69.56521739130434	34.285714285714285	8.310382410259538e-05	0.026842535185138308	0.5204795204795205	5	4	1	0.375	0.375
OG0003515	10	1	6	22	62.5	95.65217391304348	36.666666666666664	0.00011249743149996784	0.036336670374489614	0.5284715284715285	4	3	1	0.625	0.625
OG0004460	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004461	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004464	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004476	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004472	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004473	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004474	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004477	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004465	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004450	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0004467	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5324675324675324	2	2	0	0.5	0.5
OG0002361	15	10	1	13	93.75	56.52173913043478	19.5	0.0018118880993695497	0.5852398560963645	0.5394605394605395	5	4	1	0.375	0.375
OG0002362	15	10	1	13	93.75	56.52173913043478	19.5	0.0018118880993695497	0.5852398560963645	0.5394605394605395	5	4	1	0.375	0.375
OG0003179	11	3	5	20	68.75	86.95652173913044	14.666666666666666	0.0005983874420424137	0.19327914377969962	0.5414585414585414	4	3	2	0.625	1.0
OG0004446	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5544455544455544	2	2	0	0.5	0.5
OG0004451	6	0	10	23	37.5	100.0	inf	0.0024544668507517258	0.7927927927928075	0.5544455544455544	2	2	0	0.5	0.5
